neuron,raw_label,nt,sign
ADAL,Glu,Glu,excitatory
ADAR,Glu,Glu,excitatory
ADEL,DA,DA,modulatory
ADER,DA,DA,modulatory
ADFL,ACh,ACh,excitatory
ADFR,ACh,ACh,excitatory
ADLL,Glu,Glu,excitatory
ADLR,Glu,Glu,excitatory
AFDL,Glu,Glu,excitatory
AFDR,Glu,Glu,excitatory
AIAL,ACh,ACh,excitatory
AIAR,ACh,ACh,excitatory
AIBL,Glu,Glu,excitatory
AIBR,Glu,Glu,excitatory
AIML,Glu,Glu,excitatory
AIMR,Glu,Glu,excitatory
AINL,ACh,ACh,excitatory
AINR,ACh,ACh,excitatory
AIYL,ACh,ACh,excitatory
AIYR,ACh,ACh,excitatory
AIZL,Glu,Glu,excitatory
AIZR,Glu,Glu,excitatory
ALA,GABA,GABA,inhibitory
ALML,Glu,Glu,excitatory
ALMR,Glu,Glu,excitatory
ALNL,ACh,ACh,excitatory
ALNR,ACh,ACh,excitatory
AQR,Glu,Glu,excitatory
AS1,ACh,ACh,excitatory
AS2,ACh,ACh,excitatory
AS3,ACh,ACh,excitatory
AS4,ACh,ACh,excitatory
AS5,ACh,ACh,excitatory
AS6,ACh,ACh,excitatory
AS7,ACh,ACh,excitatory
AS8,ACh,ACh,excitatory
AS9,ACh,ACh,excitatory
AS10,ACh,ACh,excitatory
AS11,ACh,ACh,excitatory
ASEL,Glu,Glu,excitatory
ASER,Glu,Glu,excitatory
ASGL,Glu,Glu,excitatory
ASGR,Glu,Glu,excitatory
ASHL,Glu,Glu,excitatory
ASHR,Glu,Glu,excitatory
ASIL,*betaine (uptake) - NEW,BTA,modulatory
ASIR,*betaine (uptake) - NEW,BTA,modulatory
ASJL,ACh,ACh,excitatory
ASJR,ACh,ACh,excitatory
ASKL,Glu,Glu,excitatory
ASKR,Glu,Glu,excitatory
AUAL,Glu,Glu,excitatory
AUAR,Glu,Glu,excitatory
AVAL,ACh,ACh,excitatory
AVAR,ACh,ACh,excitatory
AVBL,ACh,ACh,excitatory
AVBR,ACh,ACh,excitatory
AVDL,ACh,ACh,excitatory
AVDR,ACh,ACh,excitatory
AVEL,ACh,ACh,excitatory
AVER,ACh,ACh,excitatory
AVFL,GABA (uptake),GABA,inhibitory
AVFR,GABA (uptake),GABA,inhibitory
AVG,*ACh,ACh,excitatory
AVHL,unknown (orphan),UNK,modulatory
AVHR,unknown (orphan),UNK,modulatory
AVJL,*GABA,GABA,inhibitory
AVJR,*GABA,GABA,inhibitory
AVKL,"unknown (orphan, unc-47 expression)",UNK,modulatory
AVKR,"unknown (orphan, unc-47 expression)",UNK,modulatory
AVL,GABA,GABA,inhibitory
AVM,Glu,Glu,excitatory
AWAL,*ACh - NEW,ACh,excitatory
AWAR,*ACh - NEW,ACh,excitatory
AWBL,ACh,ACh,excitatory
AWBR,ACh,ACh,excitatory
AWCL,Glu,Glu,excitatory
AWCR,Glu,Glu,excitatory
BAGL,Glu,Glu,excitatory
BAGR,Glu,Glu,excitatory
BDUL,unknown (orphan),UNK,modulatory
BDUR,unknown (orphan),UNK,modulatory
CANL,betaine (uptake),BTA,modulatory
CANR,betaine (uptake),BTA,modulatory
CEPDL,DA,DA,modulatory
CEPDR,DA,DA,modulatory
CEPVL,DA,DA,modulatory
CEPVR,DA,DA,modulatory
DA1,ACh,ACh,excitatory
DA2,ACh,ACh,excitatory
DA3,ACh,ACh,excitatory
DA4,ACh,ACh,excitatory
DA5,ACh,ACh,excitatory
DA6,ACh,ACh,excitatory
DA7,ACh,ACh,excitatory
DA8,ACh,ACh,excitatory
DA9,ACh,ACh,excitatory
DB1/3,ACh,ACh,excitatory
DB2,ACh,ACh,excitatory
DB3/1,ACh,ACh,excitatory
DB4,ACh,ACh,excitatory
DB5,ACh,ACh,excitatory
DB6,ACh,ACh,excitatory
DB7,ACh,ACh,excitatory
DD1,GABA,GABA,inhibitory
DD2,GABA,GABA,inhibitory
DD3,GABA,GABA,inhibitory
DD4,GABA,GABA,inhibitory
DD5,GABA,GABA,inhibitory
DD6,GABA,GABA,inhibitory
DVA,ACh,ACh,excitatory
DVB,GABA,GABA,inhibitory
DVC,Glu,Glu,excitatory
FLPL,Glu,Glu,excitatory
FLPR,Glu,Glu,excitatory
HSNL,ACh,ACh,excitatory
HSNR,ACh,ACh,excitatory
I1L,ACh,ACh,excitatory
I1R,ACh,ACh,excitatory
I2L,Glu,Glu,excitatory
I2R,Glu,Glu,excitatory
I3,ACh,ACh,excitatory
I4,*Glu - NEW,Glu,excitatory
I5,Glu,Glu,excitatory
